Crop,Test_R2,Train_R2,RMSE,Samples
Rice,0.4555498787950937,0.9978298327999894,0.23740035378287705,57
Maize,0.979710106552387,0.99996712734002,0.05049448638792353,23
Ginger,0.8710448610238672,0.9999999025679164,0.4318853619841951,22
