Crop,RMSE,MAE,R2,Samples
Ginger,0.4665833881844232,0.4456950657488772,0.8494917765226031,22
Maize,0.03478743376940206,0.030450397792504847,0.9903697705841819,23
Potato,0.8572113858117472,0.5893761288339033,-2.60625698605015,28
Rice,0.23698946751842845,0.1940701738081055,0.4574328876429583,57
Turmeric,0.32211653993900236,0.22658044550434564,-0.315966353772839,21
